,Ticker,IntrinsicValue,GrahamNumber,Price
0,CAMS,₹ 839,₹ 471,"₹ 2,742"
1,GPIL,"₹ 1,414",₹ 617,₹ 728
2,HAPPSTMNDS,₹ 466,₹ 182,₹ 869
3,HDFCBANK,"₹ 1,062","₹ 1,023","₹ 1,438"
4,KOTAKBANK,₹ 951,"₹ 1,054","₹ 1,780"
5,LTIM,"₹ 4,458","₹ 1,460","₹ 5,596"
6,NESTLEIND,₹ 378,₹ 143,"₹ 2,506"
7,PAGEIND,"₹ 8,996","₹ 3,759","₹ 36,733"
8,POWERMECH,"₹ 3,781","₹ 1,778","₹ 4,932"
9,SARDAEN,₹ 200,₹ 193,₹ 238
10,TATAELXSI,"₹ 2,333",₹ 985,"₹ 7,818"
11,TATAMOTORS,₹ 244,₹ 410,₹ 809
12,TATAPOWER,₹ 144,₹ 154,₹ 362
13,TCS,"₹ 2,334",₹ 871,"₹ 3,803"
